traceID;spanID;operationName;timestamp;duration_us;http.method;url.path;http.status_code;http.request.body.size;http.response.body.size;client.address;user_agent.original;server.port;network.protocol.version;url.scheme
1fac80b35f0c96c5cbe8f1ab64af5d6e;4f805eecf6ad0b0f;proxy-request;1770832540011885;73119;;/login;200;;43631;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
ffe61655a7977ecd856925f47798977a;d4062f5994cea5ba;proxy-request;1770832540031829;109490;;/login;200;;43637;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
cb164ab4cc73362b291321ebf07fe61d;0d185cbb744e2b81;proxy-request;1770832540479337;106561;;/login;200;;43570;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
09c03850b10bbe1c2cc6b95ce7ef5e0f;e117fdad1ddc8346;proxy-request;1770832542125044;96354;;/login;200;;43570;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
6f124cf8271277c2600b2e2d6be10680;0e98334220003731;proxy-request;1770832542188196;21571;;/search;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
b6838df08f588f29c5ac6cb4ed17b748;1c6b229b0023e225;proxy-request;1770832542211433;62643;;/login;200;;43631;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
ee507b00e487db70c9749b45d9d9b873;13e121e54c614324;proxy-request;1770832542469980;13020;;/;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
a2a716faa78b9f6c90240cae9088ab29;53ddc4352c2acce6;proxy-request;1770832542484485;80092;;/login;200;;43613;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
4972910da151080b6ba1c27e9801b6f9;5c97f689368ea6f2;proxy-request;1770832542999767;18780;;/projects;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
83061991fe0e5fe036de1ab875bf7658;61f86e2cd88ca5f3;proxy-request;1770832543020283;58620;;/login;200;;43637;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
b9e05c627f4d6d21d367e8d2b89e10a5;5b5e72f6f30f209b;proxy-request;1770832543380528;14312;;/projects;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
c4b41effc871cf395f8caa5ce9994816;6db4fa32ae9aa080;proxy-request;1770832543397065;102049;;/login;200;;43637;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
e637a5ab0bcdd2d6260a89c1e540d6e8;89c47b29d84c47a8;proxy-request;1770832545470933;14440;;/;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
025a73403f57046c090782c0c1ceee97;4e4ea9077b692599;proxy-request;1770832545486792;51106;;/login;200;;43613;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
68ed8110b82fe00055f94cec54672ac4;5cf7f8165134dbd8;proxy-request;1770832546448648;55563;;/login;200;;43570;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
e0b60818c2b6f2257528cf4ac03a457d;092e79d414d925c5;proxy-request;1770832546469745;47755;;/;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
